#stokes,freq,ind,real,imag,eta
5,2052,0,308.13023030,-0.06968780,1.11000000
5,2052,1,2.66944800,19.12863520,1.11000000
5,2052,2,-18.72601070,12.47010840,1.11000000
5,2052,3,-240.19217830,29.29078150,1.11000000
5,2052,4,-153.51151560,-11.19349320,1.11000000
5,2052,5,6.37976120,0.67798810,1.11000000
5,2052,6,-2.00424290,2.93949120,1.11000000
5,2052,7,0.70259710,-15.31523960,1.11000000
5,2052,8,-15.37899750,13.45691540,1.11000000
5,2052,9,36.50484960,-28.52266720,1.11000000
5,2052,10,426.37387370,-51.31663190,1.11000000
5,2052,11,-22.00522790,3.67313310,1.11000000
5,2052,12,-237.29244250,23.04643850,1.11000000
5,2052,13,2.66540440,-0.90958170,1.11000000
5,2052,14,-51.80820900,1.08557180,1.11000000
5,2052,15,-0.00750460,0.90612660,1.11000000
5,2052,16,2.55442310,-3.79807180,1.11000000
5,2052,17,-2.41517510,-6.99567740,1.11000000
5,2052,18,-9.69133850,10.22743860,1.11000000
5,2052,19,21.02060510,-17.94268700,1.11000000
5,2052,20,-0.11430680,2.48465470,1.11000000
5,2052,21,98.78896550,-10.69098120,1.11000000
5,2052,22,25.19056020,-2.66573350,1.11000000
5,2052,23,31.21491720,-3.60274170,1.11000000
5,2052,24,111.48345030,-3.73571030,1.11000000
5,2052,25,-12.10960660,0.95023140,1.11000000
5,2052,26,86.35141530,-3.63359110,1.11000000
5,2052,27,-0.88994430,0.50268120,1.11000000
5,2052,28,-0.08094410,0.60510290,1.11000000
5,2052,29,-0.80556330,0.48466120,1.11000000
5,2052,30,-1.00825690,-0.33935330,1.11000000
5,2052,31,0.23836290,3.48175690,1.11000000
5,2052,32,-4.68660270,-11.39540120,1.11000000
5,2052,33,5.65114260,-6.10672930,1.11000000
5,2052,34,0.52881980,-2.61520480,1.11000000
5,2052,35,-20.24776920,14.97494510,1.11000000
5,2052,36,-21.41827490,0.97465130,1.11000000
5,2052,37,3.32354340,-0.80058850,1.11000000
5,2052,38,-6.30589850,0.73908080,1.11000000
5,2052,39,4.20342960,-0.40800090,1.11000000
5,2052,40,-16.63639080,-11.92750250,1.11000000
5,2052,41,6.46496750,0.65923930,1.11000000
5,2052,42,-58.04359180,5.58715920,1.11000000
5,2052,43,-2.14447910,-1.27087400,1.11000000
5,2052,44,-48.56297720,0.85352640,1.11000000
5,2052,45,0.24063770,-1.00061810,1.11000000
5,2052,46,0.53954860,-2.35894750,1.11000000
5,2052,47,0.69902580,-1.24080260,1.11000000
5,2052,48,0.03195030,3.32009610,1.11000000
5,2052,49,0.81414900,3.03013560,1.11000000
5,2052,50,0.21302660,15.56339540,1.11000000
5,2052,51,1.39958410,1.14603030,1.11000000
5,2052,52,0.37493160,1.32308720,1.11000000
5,2052,53,-4.08329100,3.25143000,1.11000000
5,2052,54,7.24874740,-6.10260260,1.11000000
5,2052,55,2.59648210,-0.01205910,1.11000000
5,2052,56,12.42640170,-0.56759040,1.11000000
5,2052,57,0.09887640,0.23833670,1.11000000
5,2052,58,-4.58600820,0.13417900,1.11000000
5,2052,59,-0.91616850,0.11415660,1.11000000
5,2052,60,37.40984240,11.31209380,1.11000000
5,2052,61,0.88406220,-1.55938130,1.11000000
5,2052,62,-2.56377640,0.38280890,1.11000000
5,2052,63,4.19852390,0.37040950,1.11000000
5,2052,64,66.46019420,-1.22832280,1.11000000
5,2052,65,0.97012430,0.39167160,1.11000000
6,2052,0,0.14375480,-0.07500360,1.11000000
6,2052,1,-4.25671370,0.92357220,1.11000000
6,2052,2,-14.37793230,-7.07322690,1.11000000
